Goomba, Bros
Rammerhead, 3DWorld
Pom Pom, 3DLand
Prince Bully, 3DWorld
Hisstocrat, 3DWorld
Dorrie, Mario64
Kamek, MarioWorld
Balloon Baby Yoshi, NewBros
Nabbit, NewBros
Sumo Bro, NewBros
Larry, NewBros
Iggy, NewBros
Lemmy, NewBros
Wendy, NewBros
Morton, NewBros
Roy, NewBros
Ludwig, NewBros
Pianta, Sunshine
Petey Piranha, Sunshine
Skating Shy Guy, Kart
Orange Yoshi, Sunshine
Pink Yoshi, Sunshine
Purple Yoshi, Sunshine
Baby Mario, YoshisIsland
Baby Luigi, YoshisIsland
Baby Peach, YoshisIslandDS
Baby Daisy, Kart
Toadsworth, Sunshine
Noshi, Kart
Cataquack, Sunshine
Red Cataquack, Sunshine
Penguin Coach, Galaxy
Penguin, Mario64
Cow, 3DWorld
Dry Goomba, 3DLand
Goombeetle, Galaxy
Goombrat, NewBros
Plurp, Sunshine
Rocto, Galaxy
Sidestepper, Bros
Snowman, Mario64
Stone Spike, NewBros
Tail Goomba, 3DLand
Tracks, Galaxy
Baby Rosalina, Kart
Baby Waluigi, TennisFever
Baby Wario, YoshisIslandDS
Funky Kong, KongCountry
Kamella, Galaxy
Ink Piranha, 3DLand
Tail Boo, 3DLand
Tail Bullet Bill, 3DLand
Wallop, 3DLand
Dry Bowser, NewBros
Bony Beetle, MarioWorld
Chomplet, Sunshine
Kritter, Kong
Mayor Pianta, Sunshine
Gooper Blooper, Sunshine
Blue Twirler, LuigisMansion
Flying Fish, LuigisMansion
Ghost Guy, LuigisMansion
Cranky Kong, Kong
E. Gadd, LuigisMansion
King Boo LM, LuigisMansion
Bulrush, Wonder
Fire Spike, Wonder
Hoppo, Wonder
Melon Piranha Plant, Wonder
Poplin, Wonder
Prince Florian, Wonder
Roller Koopa, Wonder
Shova, Wonder
Skedaddler, Wonder
Swirlypod, Wonder
Talking Flower, Wonder
Wonder Bowser Jr., Wonder
Bombomb Buddy, 3DWorld
The Chimp, Galaxy
Digga, Galaxy
Flipbug, Galaxy
Fluzzard, Galaxy
Jack Goomba, Galaxy
Mandibug, Galaxy
Octoboo, Galaxy
Penguru, Galaxy
Prickly Piranha Plant, Galaxy
Whimp, Galaxy
Lubba, Galaxy
Blue Lava Bubble, Galaxy
Buzzy Beetle, Bros
Charvaargh, 3DWorld
Hop-Chop, 3DWorld
Lava Bubble, Bros
Ninji, Jamboree
Porcupuffer, MarioWorld
Spike Top, MarioWorld
Bowser TV, Jamboree
Sprixie, 3DWorld
TV Host Toad, Jamboree
Bossblob, 3DWorld
Freezie, Bros
Nokis, Sunshine
Pteranodon, Galaxy
Seagull, Sunshine
Swoop, MarioWorld
Talking Flower Announcer, TennisFever
Bone Piranha Plant, NewBros
Chill Bully, Mario64
Dolphin, MarioWorld
Fishbone, MarioWorld
Huckit Crab, NewBros
Mr. I, Mario64
Rex, MarioWorld
Snifit, Bros
Ukiki, Mario64
Urchin, MarioWorld
Blargg, MarioWorld
Reznor, MarioWorld
Bramball, NewBros
Bulber, NewBros
Para-Beetle, MarioWorld
Heavy Para-Beetle, NewBros
Mechakoopa, MarioWorld
Muncher, MarioWorld
Scaredy Rat, 3DLand
Amp, Mario64
Broozer, NewBros
Gold Goomba, NewBros
Goomboss, PaperMario
Impostor Bowser, Jamboree
King Bill, NewBros
Zappa Mechakoopa, MarioMaker
Chief Chilly, 64DS
Eyerok, Mario64
Bouldergeist, Galaxy
Whomp King, Mario64
Baby Donkey Kong, YoshisIslandDS
Baby Bowser, YoshisIsland
Baby Fat, MarioRPG
Big Bully, Mario64
Bonneter, Odyssey
Female Bonneter, Odyssey
Frog, Odyssey
Glydon, Odyssey
Goombette, Odyssey
Jaxi, Odyssey
Moe-Eye, Odyssey
Rabbit, Odyssey
Sheep, Odyssey
Talkatoo, Odyssey
Tiara, Odyssey
Tostarenan, Odyssey
Archivist Toadette, Odyssey
Brigade Blue Toad, Odyssey
Cappy, Odyssey
Coach, Odyssey
Lochlady, Odyssey
Shiverian, Odyssey
Shiverian Elder, Odyssey
Shiverian Racer, Odyssey
Volbonan, Odyssey
Poochy, YoshisIsland
Klepto, Mario64
Mini Goomba, Bros
Tropical Wiggler, Odyssey
Uproot, Odyssey
Chincho, 3DWorld
Purple Cheep Cheep, 3DLand
Small Bird, Odyssey
Urban Stingby, Odyssey
Meowser, 3DWorld
Motley Bossblob, 3DWorld
Gooigi, LuigisMansion
Hariet, Odyssey
Madame Brood, Odyssey
Rango, Odyssey
Spewart, Odyssey
Topper, Odyssey
